date,day,month,year
1993-02-17,17,2,1993
1996-05-31,31,5,1996
1993-01-06,6,1,1993
1994-04-01,1,4,1994
1995-05-31,31,5,1995
1995-08-01,1,8,1995
1996-10-23,23,10,1996
1997-12-15,15,12,1997
1998-06-26,26,6,1998
2000-06-01,1,6,2000
1999-06-27,27,6,1999
1999-11-01,1,11,1999
2000-02-03,3,2,2000
2002-06-01,1,6,2002
2000-06-30,30,6,2000
2001-06-01,1,6,2001
2001-05-30,30,5,2001
2002-06-01,1,6,2002
2001-06-29,29,6,2001
2001-10-31,31,10,2001
2002-07-06,6,7,2002
2002-11-18,18,11,2002
2003-02-20,20,2,2003
2004-10-02,2,10,2004
2005-09-02,2,9,2005
2005-09-08,8,9,2005
2005-10-21,21,10,2005
2006-06-01,1,6,2006
2005-12-01,1,12,2005
2006-08-18,18,8,2006
2006-12-21,21,12,2006
2007-04-25,25,4,2007
2007-05-24,24,5,2007
2007-12-18,18,12,2007
2008-06-27,27,6,2008
2008-11-12,12,11,2008
2008-12-03,3,12,2008
2009-02-18,18,2,2009
2009-08-26,26,8,2009
2014-01-01,1,1,2014
2009-09-28,28,9,2009
2009-10-30,30,10,2009
2010-02-12,12,2,2010
2010-04-09,9,4,2010
2010-09-29,29,9,2010
2011-04-07,7,4,2011
2011-06-06,6,6,2011
2011-08-26,26,8,2011
2011-09-08,8,9,2011
2011-10-07,7,10,2011
2011-11-08,8,11,2011
2011-11-21,21,11,2011
2011-11-25,25,11,2011
2012-03-23,23,3,2012
2012-10-08,8,10,2012
2012-10-23,23,10,2012
2012-10-31,31,10,2012
2012-12-01,1,12,2012
2012-12-05,5,12,2012
2013-01-15,15,1,2013
2013-01-21,21,1,2013
2013-09-23,23,9,2013
2013-10-04,4,10,2013
2013-10-23,23,10,2013
2013-12-20,20,12,2013
2014-01-01,1,1,2014
2014-01-16,16,1,2014
2014-04-10,10,4,2014
2014-05-21,21,5,2014
2014-05-31,31,5,2014
2014-09-01,1,9,2014
2014-12-02,2,12,2014
2015-05-08,8,5,2015
2015-07-21,21,7,2015
2015-09-04,4,9,2015
2015-10-14,14,10,2015
2015-10-27,27,10,2015
2015-12-22,22,12,2015
2016-05-25,25,5,2016
2016-06-30,30,6,2016
2016-09-16,16,9,2016
2016-09-21,21,9,2016
2016-09-22,22,9,2016
2016-12-09,9,12,2016
2017-01-18,18,1,2017
1995-05-31,31,5,1995
2017-05-07,7,5,2017
2017-08-03,3,8,2017
2017-09-25,25,9,2017
2017-12-01,1,12,2017
2018-03-13,13,3,2018
2018-09-05,5,9,2018
2018-11-19,19,11,2018
2018-12-05,5,12,2018
2018-12-05,5,12,2018
2018-12-19,19,12,2018
2019-01-08,8,1,2019
2019-03-20,20,3,2019
2019-05-17,17,5,2019
2019-06-28,28,6,2019
2019-12-02,2,12,2019
2020-01-08,8,1,2020
2020-10-08,8,10,2020
2021-04-20,20,4,2021
2021-05-21,21,5,2021
2021-06-09,9,6,2021
2021-08-04,4,8,2021
2021-09-03,3,9,2021
2021-09-03,3,9,2021
2021-09-10,10,9,2021
2021-09-27,27,9,2021
2022-02-04,4,2,2022
2022-03-23,23,3,2022
1700-09-06,6,9,1700
1700-09-29,29,9,1700
1700-09-30,30,9,1700
2022-01-01,1,1,2022
1700-12-21,21,12,1700
1700-12-06,6,12,1700
1700-12-02,2,12,1700
